,cardholder_info,credit_card_details,billing_address,reason_for_the_decline,transaction_info,transaction_references,fees
0,Full Name :Allison Ramirez                                                    Phone:(952)736-4031                                                    Email:manuel52@gmail.com                                                    Personal Number:                              939.406.6870x0535,Expiritaion date:02/28                                                    Card Type:visa*****9555                                                    Bin Country Code:HU,Country:CU                                                    Zip Code:76842                                                    City:Allisonstad                                                    Address:342 Bates Union,Reply Code: 5320,Amount :355.35                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 47.230.222.36                                                    Order no': 12dbab6c-0fae-49a3-89bb-4889c1ad8234                                                    Source: ApprovedCharge                                                    Date:2021-02-05 13:47:37                            Approval Number: 0004288157Bank reference number:    VKBbEXgdATRHdKJVComment:                    Reduced client-driven capacityReference Number 1: 839Card Present: NoReference Number 2: bGpggMukqWJzaEya,Original transaction:,Ratio Fee:17.77                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
1,Full Name :Aaron Salazar                                                    Phone:+1-413-058-8754x801                                                    Email:jessicamartinez@gmail.com                                                    Personal Number:                              150.776.8792x245,Expiritaion date:07/24                                                    Card Type:visa*****9006                                                    Bin Country Code:TZ,Country:SC                                                    Zip Code:84308                                                    City:Erneststad                                                    Address:298 Kirk Parkway Suite 545,Amount :313.12                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 73.77.89.179                                                    Order no': ddd1dc81-8469-49fd-8d51-3584ae269395                                                    Source: ApprovedCharge                                                    Date:2021-05-26 00:00:05                            Approval Number: 1708050795Bank reference number:    pLVHYmaOLaNMafOHComment:                    Innovative background abilityReference Number 1: 6768Card Present: NoReference Number 2: JyLzjyDKKNtKlaUu,Original transaction:,Ratio Fee:15.66                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
2,Full Name :Sandra Dominguez                                                    Phone:001-481-481-9907                                                    Email:thompsonjoseph@hotmail.com                                                    Personal Number:                              178-587-6788,Expiritaion date:05/29                                                    Card Type:mastercard*****2483                                                    Bin Country Code:SI,Country:CA                                                    Zip Code:32811                                                    City:New Jaimeville                                                    Address:3509 Thompson Inlet,Amount :437.94                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 67.136.154.199                                                    Order no': d0e5a4db-a111-4e61-94ab-acf28136b9c5                                                    Source: ApprovedCharge                                                    Date:2021-08-09 05:16:33                            Approval Number: 0693349719Bank reference number:    UyuuzFOUvvgddukiComment:                    Function-based global coreReference Number 1: 9280Card Present: NoReference Number 2: orGkmnCNzuhfQpFV,Original transaction:,Ratio Fee:21.9                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
3,Full Name :Jeffrey Tate                                                    Phone:001-522-958-0806x61174                                                    Email:shirley18@hotmail.com                                                    Personal Number:                              177.719.4863x5100,Expiritaion date:12/30                                                    Card Type:mastercard*****1847                                                    Bin Country Code:TZ,Country:GH                                                    Zip Code:99606                                                    City:Rickyshire                                                    Address:7499 Lynch Spurs,Amount :469.95                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 88.109.142.247                                                    Order no': 0b5ddefd-50e5-4dc0-bd86-c457b201e48b                                                    Source: ApprovedCharge                                                    Date:2021-11-20 14:20:45                            Approval Number: 0002156504Bank reference number:    nqsCJVhwdYGiIaKIComment:                    De-engineered client-driven matricesReference Number 1: 2481Card Present: NoReference Number 2: yGSIYEIPsCedOCaL,Original transaction:,Ratio Fee:23.5                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
4,Full Name :Angela Willis                                                    Phone:5635860699                                                    Email:payneryan@ray.info                                                    Personal Number:                              (840)091-4794x2144,Expiritaion date:02/26                                                    Card Type:mastercard*****1341                                                    Bin Country Code:ZA,Country:GM                                                    Zip Code:47174                                                    City:Patrickchester                                                    Address:8883 Powell Cape,Amount :157.33                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 41.192.186.206                                                    Order no': 080c535d-2bca-4a93-a03c-d9f0a84e6af9                                                    Source: ApprovedCharge                                                    Date:2021-08-30 22:50:39                            Approval Number: 1518359515Bank reference number:    NikBIlFcNKlBYJmgComment:                    Advanced mobile allianceReference Number 1: 2796Card Present: NoReference Number 2: FRARYTKJcaXQsGJG,Original transaction:,Ratio Fee:7.87                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
5,Full Name :Melissa Solis                                                    Phone:241-124-8183x7724                                                    Email:reevesbrianna@hotmail.com                                                    Personal Number:                              422.922.0993x6721,Expiritaion date:06/23                                                    Card Type:mastercard*****6597                                                    Bin Country Code:BI,Country:AR                                                    Zip Code:02304                                                    City:South Tracy                                                    Address:972 Raymond Cape,Reply Code: 7009,Amount :123.1                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 154.168.72.97                                                    Order no': 5a4b012b-9065-4816-a063-b11a8148d5d6                                                    Source: ApprovedCharge                                                    Date:2021-04-22 13:41:51                            Approval Number: 1514418649Bank reference number:    TRPqNrenhbLyvkjSComment:                    Proactive well-modulated installationReference Number 1: 3631Card Present: NoReference Number 2: XeFfmIGWeBsPxSXO,Original transaction:,Ratio Fee:6.16                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
6,Full Name :Sherry Wilkerson                                                    Phone:123.949.6585x82555                                                    Email:aguilarhoward@blake.info                                                    Personal Number:                              868-137-1630,Expiritaion date:12/21                                                    Card Type:visa*****8604                                                    Bin Country Code:SI,Country:ST                                                    Zip Code:11587                                                    City:Kevinborough                                                    Address:399 Amy Lights Suite 327,Amount :946.53                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 136.108.45.145                                                    Order no': b5bb128f-dfa4-4485-9133-2aefdc711a4b                                                    Source: ApprovedCharge                                                    Date:2021-07-17 03:08:43                            Approval Number: 0311563716Bank reference number:    inKJPpWwtfSHCVjZComment:                    Diverse system-worthy Graphic InterfaceReference Number 1: 4016Card Present: NoReference Number 2: cqNzmlzQnApMUXOC,Original transaction:,Ratio Fee:47.33                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
7,Full Name :Jared Davis                                                    Phone:(587)938-8019                                                    Email:kochmichael@martin-sanchez.com                                                    Personal Number:                              (244)005-1968x40578,Expiritaion date:01/22                                                    Card Type:visa*****9766                                                    Bin Country Code:DZ,Country:TL                                                    Zip Code:47433                                                    City:Port Dianemouth                                                    Address:324 Paul Shoal,Amount :66.12                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 188.21.25.136                                                    Order no': e57f9889-f7d4-4d87-b8a4-d45733727260                                                    Source: ApprovedCharge                                                    Date:2020-11-11 06:48:44                            Approval Number: 0717207412Bank reference number:    WuEukhWcqomdRdLpComment:                    De-engineered secondary extranetReference Number 1: 8487Card Present: NoReference Number 2: zxBrMICbWrJUZTBo,Original transaction:,Ratio Fee:3.31                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
8,Full Name :Jeffrey Tate                                                    Phone:001-522-958-0806x61174                                                    Email:shirley18@hotmail.com                                                    Personal Number:                              177.719.4863x5100,Expiritaion date:12/30                                                    Card Type:mastercard*****1847                                                    Bin Country Code:TZ,Country:GH                                                    Zip Code:99606                                                    City:Rickyshire                                                    Address:7499 Lynch Spurs,Amount :469.95                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 88.109.142.247                                                    Order no': 0b5ddefd-50e5-4dc0-bd86-c457b201e48b                                                    Source: ApprovedCharge                                                    Date:2021-11-20 14:20:45                            Approval Number: 0002156504Bank reference number:    nqsCJVhwdYGiIaKIComment:                    De-engineered client-driven matricesReference Number 1: 2481Card Present: NoReference Number 2: yGSIYEIPsCedOCaL,Original transaction:,Ratio Fee:23.5                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
9,Full Name :Michael Cruz                                                    Phone:+1-901-031-0957x23798                                                    Email:jodi18@yahoo.com                                                    Personal Number:                              895.967.5530x5598,Expiritaion date:03/27                                                    Card Type:visa*****7576                                                    Bin Country Code:GR,Country:TD                                                    Zip Code:52887                                                    City:Romanborough                                                    Address:664 Aguirre Causeway,Reply Code: 4131                            other,Amount :960.73                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 47.27.15.152                                                    Order no': 9381dae0-7f1e-402a-a3b4-14bdc56a5c8a                                                    Source: ApprovedCharge                                                    Date:2021-01-04 09:06:28                            Approval Number: 1449083064Bank reference number:    YcnyMjbLddbyiDZOComment:                    Seamless uniform migrationReference Number 1: 1096Card Present: NoReference Number 2: xojCISEquUeqSISA,Original transaction:,Ratio Fee:48.04                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
